District_Name,Crop,Area,Production,Rainfall
TIRUNELVELI,Arecanut,123.0,1.1544715447154472,1365.3
NAMAKKAL,Arecanut,337.0,1.8367952522255193,928.5
THIRUVANANTHAPURAM,Arecanut,1001.0,0.4755244755244755,3255.4
ERNAKULAM,Arecanut,5207.0,1.2281544075283273,3489.6
THIRUVARUR,Arecanut,2.0,2.0,928.5
NAMAKKAL,Arecanut,321.0,1.8255451713395638,1203.4
THIRUVANANTHAPURAM,Arecanut,1024.0,0.5634765625,2151.1
THIRUVANANTHAPURAM,Arecanut,968.24,0.510431298025283,3035.1
THIRUVANANTHAPURAM,Arecanut,922.45,0.6025800856414982,3131.8
THIRUVANANTHAPURAM,Arecanut,890.0,0.5168539325842697,2810.6
NAMAKKAL,Arecanut,268.0,3.3358208955223883,1067.2
THANJAVUR,Arecanut,8.0,1.875,1037.6
THIRUVANANTHAPURAM,Arecanut,999.0,0.6016016016016016,2524.5
VELLORE,Arecanut,2.0,2.0,1067.2
ERNAKULAM,Arecanut,4783.0,1.163286640183985,2524.5
ERODE,Arecanut,215.0,1.5488372093023255,928.5
THIRUVANANTHAPURAM,Arecanut,1077.0,0.5376044568245125,3489.6
THENI,Arecanut,30.0,1.7333333333333334,1067.2
THIRUVARUR,Arecanut,4.0,2.0,1203.4
NAMAKKAL,Arecanut,256.0,1.8046875,927.9
THIRUVANANTHAPURAM,Arecanut,1074.0,0.7346368715083799,3420.6
ERNAKULAM,Arecanut,4674.0,1.0975609756097562,2810.6
THIRUVANANTHAPURAM,Arecanut,1033.0,0.5769603097773476,3046.4
THIRUVANANTHAPURAM,Arecanut,1249.0,0.5524419535628503,3031.1
ERNAKULAM,Arecanut,4908.0,1.0228198859005706,3420.6
THRISSUR,Arecanut,5450.0,1.055045871559633,3151.5
THRISSUR,Arecanut,7279.0,0.7404863305399093,3420.6
ERNAKULAM,Arecanut,4886.0,0.762996316004912,2507.4
THRISSUR,Arecanut,8116.0,1.313578117299162,3031.1
THRISSUR,Arecanut,8071.0,0.957749969024904,2886.1
ERODE,Arecanut,177.0,3.310734463276836,1067.2
VELLORE,Arecanut,3.0,1.0,1365.3
THRISSUR,Arecanut,8052.0,0.9025086934923,2394.9
THIRUVARUR,Arecanut,2.0,1.5,741.9
NAMAKKAL,Arecanut,521.0,3.6314779270633397,926.5
THRISSUR,Arecanut,7526.0,0.9172203029497741,2507.4
ERNAKULAM,Arecanut,5275.0,0.7228436018957346,2394.9
THRISSUR,Arecanut,7179.0,0.9171193759576542,2931.1
ERNAKULAM,Arecanut,5679.0,0.7474907554146857,2886.1
VIRUDHUNAGAR,Arecanut,1.0,1.0,741.9
THRISSUR,Arecanut,7099.0,0.8847725031694604,2412.6
VELLORE,Arecanut,15.0,1.4,927.9
ERNAKULAM,Arecanut,5644.0,1.0719347980155918,3031.1
THRISSUR,Arecanut,6355.0,0.9612903225806452,2914.6
THE NILGIRIS,Arecanut,310.0,0.5419354838709678,741.9
ERODE,Arecanut,198.0,3.1161616161616164,1203.4
THIRUVARUR,Arecanut,2.0,2.5,926.5
THRISSUR,Arecanut,6238.0,1.465213209361975,3252.4
THIRUVANANTHAPURAM,Arecanut,1263.0,0.4330958036421219,2886.1
NAMAKKAL,Arecanut,140.0,1.6928571428571428,1365.3
THIRUVANANTHAPURAM,Arecanut,1220.0,0.4024590163934426,2394.9
ERNAKULAM,Arecanut,4754.0,0.852334875893984,2151.1
PATHANAMTHITTA,Arecanut,1346.0,0.7451708766716196,3420.6
COIMBATORE,Arecanut,1817.0,2.0286186020913592,741.9
PATHANAMTHITTA,Arecanut,1462.0,1.1196990424076607,3031.1
ERNAKULAM,Arecanut,4463.0,0.8792292180147883,3255.4
PATHANAMTHITTA,Arecanut,1467.0,0.8289025221540559,2886.1
ERNAKULAM,Arecanut,4133.0,1.09678199854827,3046.4
PATHANAMTHITTA,Arecanut,1488.0,0.866263440860215,2394.9
PATHANAMTHITTA,Arecanut,1343.0,0.9806403574087863,2507.4
THANJAVUR,Arecanut,18.0,2.888888888888889,927.9
PATHANAMTHITTA,Arecanut,1345.0,0.7962825278810409,2931.1
IDUKKI,Arecanut,4616.0,1.544844020797227,3252.4
PATHANAMTHITTA,Arecanut,1269.0,0.8439716312056738,2412.6
PATHANAMTHITTA,Arecanut,1213.0,0.910964550700742,2914.6
PATHANAMTHITTA,Arecanut,1146.0,0.8054101221640488,3151.5
PATHANAMTHITTA,Arecanut,1306.0,1.4341500765696784,3252.4
IDUKKI,Arecanut,2899.0,0.9630907209382545,3151.5
PALAKKAD,Arecanut,9062.0,0.9447141911277863,3046.4
ERODE,Arecanut,367.0,2.20708446866485,741.9
PALAKKAD,Arecanut,9562.0,0.8786864672662623,3255.4
COIMBATORE,Arecanut,1732.0,1.8937644341801385,926.5
VELLORE,Arecanut,4.0,2.0,928.5
PATHANAMTHITTA,Arecanut,1212.0,0.4892739273927393,3489.6
THANJAVUR,Arecanut,18.0,0.8333333333333334,1365.3
PATHANAMTHITTA,Arecanut,1082.0,0.5129390018484289,2524.5
THIRUVANANTHAPURAM,Arecanut,1216.0,0.4276315789473684,2507.4
THIRUVANANTHAPURAM,Arecanut,1106.0,0.445750452079566,2931.1
THIRUVARUR,Arecanut,4.0,2.0,1067.2
NAMAKKAL,Arecanut,188.0,1.2765957446808511,1037.6
THIRUVANANTHAPURAM,Arecanut,1104.0,0.48731884057971014,2412.6
THIRUVANANTHAPURAM,Arecanut,904.0,0.5165929203539823,2914.6
VELLORE,Arecanut,4.0,2.0,1203.4
THIRUVARUR,Arecanut,5.0,1.4,927.9
THIRUVANANTHAPURAM,Arecanut,827.0,0.5501813784764208,3151.5
THIRUVANANTHAPURAM,Arecanut,1079.0,0.45505097312326226,3252.4
THRISSUR,Arecanut,7069.0,0.6630357900693168,3489.6
THIRUVARUR,Arecanut,6.0,0.8333333333333334,1365.3
ERNAKULAM,Arecanut,4549.93,1.0747198308545405,3131.8
PATHANAMTHITTA,Arecanut,1210.0,0.6884297520661157,3255.4
PATHANAMTHITTA,Arecanut,1197.0,0.6399331662489557,2151.1
PATHANAMTHITTA,Arecanut,1219.11,0.6185660030678118,3035.1
THIRUVARUR,Arecanut,5.0,1.4,1037.6
VILLUPURAM,Arecanut,42.0,2.4523809523809526,926.5
ERNAKULAM,Arecanut,4943.83,0.9385173033862411,3035.1
PATHANAMTHITTA,Arecanut,1118.41,0.6028468987222932,3131.8
ERODE,Arecanut,233.0,4.304721030042918,926.5
